Source,Target
坏了,激动
坏了,缓慢
坏了,热
坏了,乐
坏了,累
坏了,激动
坏了,累
坏了,彻底
坏了,激动
坏了,恶心
坏了,闷
坏了,乐
坏了,乐
坏了,累
坏了,彻底
坏了,累
坏了,累
坏了,乐
坏了,累
坏了,乐
坏了,可乐
坏了,累
坏了,乐
坏了,累
坏了,彻底
坏了,累
坏了,高兴
坏了,累
坏了,累
坏了,累
坏了,累
坏了,累
坏了,彻底
坏了,累
坏了,累
坏了,高兴
坏了,开心
坏了,累
坏了,坏
坏了,累
坏了,累
坏了,累
坏了,热
坏了,累
坏了,乐
坏了,乐
坏了,乐
坏了,直接
坏了,乐
坏了,恶心
坏了,坏
坏了,累
坏了,累
坏了,馋
坏了,高兴
坏了,开心
坏了,欢乐
坏了,累
坏了,恶心
坏了,冷
坏了,老
坏了,高兴
坏了,累
坏了,开心
坏了,累
坏了,累
坏了,累
坏了,乐
坏了,乐
坏了,开心
坏了,累
坏了,累
坏了,激动
坏了,累
坏了,累
坏了,开心
坏了,热
坏了,累
坏了,老
坏了,冷
坏了,老
坏了,累
坏了,累
坏了,累
坏了,乐
坏了,渴
坏了,不幸
坏了,乐
坏了,冷
坏了,骚
坏了,性感
坏了,热
坏了,乐
坏了,乐
坏了,乐
坏了,乐
坏了,高兴
坏了,累
坏了,累
坏了,乐
坏了,恶毒
坏了,乐
坏了,感动
坏了,馋
坏了,乐
坏了,累
坏了,累
坏了,累
坏了,乐
坏了,苦
坏了,热
坏了,累
坏了,激动
坏了,乐
坏了,乐
坏了,冷
坏了,累
坏了,高兴
坏了,累
坏了,累
坏了,郁闷
坏了,累
坏了,高兴
坏了,高兴
坏了,幸福
坏了,乐
坏了,累
坏了,热
坏了,颠
坏了,累
坏了,乐
坏了,高兴
坏了,累
坏了,累
坏了,郁闷
坏了,累
坏了,累
坏了,累
坏了,开心
坏了,乐
坏了,累
坏了,乐
坏了,彻底
坏了,恶心
坏了,快
坏了,坏
坏了,累
坏了,累
坏了,冷
坏了,累
坏了,郁闷
坏了,高兴
坏了,累
坏了,累
坏了,热
坏了,热
坏了,乐
坏了,乐
坏了,冷
坏了,冷
坏了,累
坏了,乐
坏了,长
坏了,旱
坏了,高兴
坏了,乐
坏了,乐
坏了,乐
坏了,乐
坏了,累
